# q, R, dR, dq
1.499999999999999944e-02 9.706709633180433672e-01 3.684144691622599777e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.843850640527829210e-01 3.723550585126338391e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.897627238075884515e-01 3.778618297261345394e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.000348457227647314e+00 3.794794880469111453e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.011507764170175294e+00 3.791621135026853207e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.020565497739320593e+00 3.811675216311268856e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.022759529684442725e+00 3.738833819576977465e-03 1.050000000000000152e-03
2.199999999999999872e-02 8.007498754292926568e-01 3.674568849773261758e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.273784118605665427e-01 2.377148168418152189e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.031579017730177905e-01 1.722437645752297394e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.417852798536221037e-01 1.455367552025552602e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.021167496871196317e-01 1.223762522737391334e-03 1.299999999999999940e-03
2.699999999999999969e-02 7.966623657759731858e-02 1.057607046307003709e-03 1.350000000000000071e-03
2.850000000000000103e-02 5.700301571073641133e-02 6.275206110776918207e-04 1.425000000000000051e-03
2.999999999999999889e-02 4.016828586753448671e-02 3.815169281243100839e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.524459895407709015e-02 6.997174714325494474e-04 1.550000000000000162e-03
3.200000000000000067e-02 2.869073248713150878e-02 6.202622539428874482e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.513126101058408418e-02 5.688035014591443861e-04 1.650000000000000208e-03
3.466666666666667201e-02 1.972326496098390780e-02 2.541914120300854717e-04 1.733333333333333687e-03
3.599999999999999728e-02 1.652153613613318445e-02 4.932243335287382711e-04 1.799999999999999951e-03
3.749999999999999861e-02 1.356121732161471097e-02 3.061990277329932567e-04 1.874999999999999931e-03
3.899999999999999994e-02 1.161621220727540767e-02 4.029141991819970526e-04 1.950000000000000127e-03
4.000000000000000083e-02 1.002969544549455264e-02 1.887262409448752258e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.874650938460902229e-03 3.191090330713828823e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.762511783202631722e-03 2.391098295296438793e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.571786319001756818e-03 1.911918498270658281e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.803167773139572379e-03 8.191690067526138252e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.355672691474020877e-03 1.299137811449701506e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.927273832844641689e-04 5.860926021699776612e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.714176631089520158e-04 9.474947486366038727e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.892429430302074380e-04 4.287368523726430787e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.546623260913806690e-04 6.703050052803274281e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.643486252911876588e-04 3.048724580593927581e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.883543885584296780e-04 5.315300317265436351e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.355816307195683222e-04 2.515910815318146712e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.526977205451061166e-04 7.150597981479220293e-07 5.500000000000000548e-03
1.199999999999999956e-01 1.026838585085141357e-04 5.790489115979198765e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.946807478315168282e-05 4.584691292298172097e-07 6.500000000000000569e-03
1.400000000000000133e-01 4.537755391187845116e-05 3.888897972855332597e-07 7.000000000000001013e-03
