# q, R, dR
1.482200000000000011e-02 9.966625936932456131e-01 6.345828367690281580e-02
1.582199999999999926e-02 9.993813434533380669e-01 6.326051699873593004e-02
1.682200000000000015e-02 1.003956062853416986e+00 6.310925780384678274e-02
2.182199999999999765e-02 7.609446286380754376e-01 6.488970065865591608e-02
2.282199999999999854e-02 3.775807754196227051e-01 3.190006915567262374e-02
2.382199999999999943e-02 1.942619714195759628e-01 1.625532259883703118e-02
2.482200000000000031e-02 1.211267444227620560e-01 1.003489510858668853e-02
2.582199999999999773e-02 8.725255473590973199e-02 7.154313486538894061e-03
2.682199999999999862e-02 6.430774841261623076e-02 5.217300455027381462e-03
2.832199999999999995e-02 4.214691476907029416e-02 2.737586987632860663e-03
2.982199999999999782e-02 2.957318392465686785e-02 1.686234871388712486e-03
3.082199999999999870e-02 2.414363398367713395e-02 1.872177687351071285e-03
3.182200000000000306e-02 1.984937070841777743e-02 1.520903023029437180e-03
3.282200000000000395e-02 1.665499092790316202e-02 1.260629902981475273e-03
3.448866666666667441e-02 1.248106421174123050e-02 7.065658514531975888e-04
3.582199999999999968e-02 1.026445577878413312e-02 7.482799674603758319e-04
3.732200000000000101e-02 8.191466685717237878e-03 4.896475519034773020e-04
3.882200000000000234e-02 6.534394578535788513e-03 4.584976742917014521e-04
3.982200000000000323e-02 5.548813732447303859e-03 3.370126274652886353e-04
4.482200000000000073e-02 2.934231813099386684e-03 2.280673593349801030e-04
4.982200000000000517e-02 1.806120633695553965e-03 1.340636859269596750e-04
5.482200000000000267e-02 1.147564563477753829e-03 8.176042990612494388e-05
5.982200000000000017e-02 7.651821681347425585e-04 4.020829750105407057e-05
6.482200000000000462e-02 5.423502648847068706e-04 3.634826495653286092e-05
6.982200000000000906e-02 3.850701995419437843e-04 1.994565446975652599e-05
7.482199999999999962e-02 2.934936230408217647e-04 1.905050237495092017e-05
7.982200000000000406e-02 2.195767719022427534e-04 1.128334511867403283e-05
8.482200000000000850e-02 1.711178241450515825e-04 1.099677474017387952e-05
8.982199999999999906e-02 1.322796445819027851e-04 6.785399616927890456e-06
9.482200000000000351e-02 1.031318565249482157e-04 6.656843684095513143e-06
9.982200000000000795e-02 8.088875597975170122e-05 4.143947251943193871e-06
1.098220000000000030e-01 5.244304451088261585e-05 2.518384802546485783e-06
1.198219999999999980e-01 3.396689198174146599e-05 1.648132105657890319e-06
1.298219999999999930e-01 2.153397147995853253e-05 1.060255264394724307e-06
1.398220000000000018e-01 1.372870484606352700e-05 6.944538387523436905e-07
1.498219999999999830e-01 8.724625099120274406e-06 4.621636865632333747e-07
1.598219999999999918e-01 5.683836866685012710e-06 2.726069637735055097e-07
1.698220000000000007e-01 3.283499474468856862e-06 1.639290665064720345e-07
1.798219999999999819e-01 1.903964840771029149e-06 1.036951271114886741e-07
1.898219999999999907e-01 1.078223037696538626e-06 6.748478252026021111e-08
1.998219999999999996e-01 5.308726222206913345e-07 4.597550649074223171e-08
2.098219999999999807e-01 2.586839507730316684e-07 1.549417885907494018e-08
2.198219999999999896e-01 1.275598342873791335e-07 1.127224642529620792e-08
2.298219999999999985e-01 7.598045226430963779e-08 1.050752417819740277e-08
2.398219999999999796e-01 8.442511897947689278e-08 9.154954243806889882e-09
2.498219999999999885e-01 1.126019944717522962e-07 9.422464849005733913e-09
2.598219999999999974e-01 1.554715304723611247e-07 1.226315044339933976e-08
2.698220000000000063e-01 1.785497115590729841e-07 1.254809718902258252e-08
2.798220000000000152e-01 2.042811946137625786e-07 1.307376642685748920e-08
2.898219999999999685e-01 2.113949555782333315e-07 1.443831252850508761e-08
2.998219999999999774e-01 2.225178879782173021e-07 1.179223231349441300e-08
3.164886666666666404e-01 2.017117523823597253e-07 1.030350946629284330e-08
3.398220000000000129e-01 1.550988497559507661e-07 1.243871127064345141e-08
3.598219999999999752e-01 1.076996913692906112e-07 9.312674582395312799e-09
3.798219999999999930e-01 6.661663576285790298e-08 8.651803397555433646e-09
3.998220000000000107e-01 4.543348523237617648e-08 6.904818820654498659e-09
4.198219999999999730e-01 2.355649369359996415e-08 6.544542395975235027e-09
4.398219999999999907e-01 1.318506059412245963e-08 6.138253457238561420e-09
4.598220000000000085e-01 4.825380981579179152e-09 7.718940998314525752e-09
4.798219999999999708e-01 4.494748707426501172e-09 5.103219352042367540e-09
4.998219999999999885e-01 7.184612602228080535e-09 5.638636443334010336e-09
5.198220000000000063e-01 5.299723500554804776e-09 6.859166016070423964e-09
5.398220000000000240e-01 5.357224924088183831e-08 9.077447804050804917e-06
5.598220000000000418e-01 7.155747514650298664e-09 6.404385352520774408e-09
5.798219999999999485e-01 1.991335036838210327e-08 7.302673495543302493e-09
6.098219999999999752e-01 6.043989331763887016e-09 4.773042383821727195e-09
6.398220000000000018e-01 7.640507889815549503e-09 6.991636674276050118e-09
6.598220000000000196e-01 6.280829711001729229e-09 8.706391693119923067e-09
6.798220000000000374e-01 8.964295872868138509e-09 9.314864559708102721e-09
